始発停留所	木の浦	飯田港	飯田港		
始発時間	11:25	12:30	16:30		
終点時間	12:06	13:34	17:34		
終点停留所	曽々木口-A	町野-A	町野-A		
備考					
飯田港		12:30	16:30		
吾妻橋-A		12:31	16:31		
昭和橋		12:32	16:32		
すずなり館前-C		12:33	16:33		
珠洲市総合病院前-A		12:35	16:35		
飯田高校下		12:37	16:37		
飯田栄町北-C		12:39	16:39		
出田川辺-B		12:40	16:40		
出田		12:41	16:41		
鈴内口-B		12:42	16:42		
経念-B		12:43	16:43		
中田口-B		12:44	16:44		
古蔵-B		12:45	16:45		
火宮		12:46	16:46		
延武-B		12:48	16:48		
宇都山-B		12:49	16:49		
通伝		12:55	16:55		
則貞		12:59	16:59		
からす川		13:04	17:04		
木の浦	11:25	-	-		
徳保	11:28	-	-		
高屋新保	11:31	-	-		
思案崎-A	11:32	-	-		
高屋	11:33	-	-		
小浦出	11:34	-	-		
笹波口	11:36	-	-		
鰐崎	11:38	-	-		
馬緤	11:39	-	-		
梨山	11:40	-	-		
泊	11:41	-	-		
赤神-A	11:43	-	-		
大谷-B	11:45	13:06	17:06		
長橋-A	11:48	13:09	17:09		
赤島-A	11:51	13:12	17:12		
片岩	11:52	13:13	17:13		
清水-A	11:54	13:15	17:15		
仁江-A	11:56	13:17	17:17		
真浦	11:59	13:20	17:20		
垂水-B	12:01	13:22	17:22		
曽々木本町-B	12:03	13:24	17:24		
曽々木-B	12:05	13:26	17:26		
曽々木口-A	12:06	13:27	17:27		
下時国-A		13:28	17:28		
上時国-A		13:29	17:29		
敷戸-A		13:30	17:30		
寺地-A		13:31	17:31		
下広江-A		13:32	17:32		
広江-A		13:33	17:33		
町野-A		13:34	17:34		
