始発停留所	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】
始発時間	07:23	07:53	11:33	11:53	12:43	20:43	21:13	21:43	22:13	22:43
終点時間	07:43	08:15	12:00	12:20	13:10	21:05	21:35	22:05	22:35	23:05
終点停留所	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E	平和町-E
備考		ノンステップバス					ノンステップバス			
工業試験場										
金沢西高校-B										
市立工業高校東口										
藤江北-B										
県庁前-B										
県庁前-C										
駅西合庁前（西念南方向）										
西念西-B										
西念南-B										
広岡-B										
金沢駅西口降車										
金沢駅西口【７】										
広岡口（大豆田方向）										
元菊町-A										
大豆田（金沢駅西口から）										
入江一丁目-A										
新神田（増泉方向）										
増泉（片町方向）										
増泉一丁目-B										
白菊町-B										
金沢駅【７】	07:23	07:53	11:33	11:53	12:43	20:43	21:13	21:43	22:13	22:43
本町	07:25	07:55	11:36	11:56	12:46	20:45	21:15	21:45	22:15	22:45
武蔵ヶ辻（近江町市場前）	07:27	07:57	11:39	11:59	12:49	20:47	21:17	21:47	22:17	22:47
南町-A	07:29	07:59	11:41	12:01	12:51	20:49	21:19	21:49	22:19	22:49
香林坊（アトリオ前）	07:31	08:01	11:43	12:03	12:53	20:50	21:20	21:50	22:20	22:50
片町（パシオン前）	07:34	08:04	11:46	12:06	12:56	20:52	21:22	21:52	22:22	22:52
広小路（平和町方向）	07:37	08:07	11:49	12:09	12:59	20:54	21:24	21:54	22:24	22:54
寺町三丁目-A	07:39	08:09	11:51	12:11	13:01	20:56	21:26	21:56	22:26	22:56
寺町二丁目-A	07:40	08:10	11:52	12:12	13:02	20:57	21:27	21:57	22:27	22:57
寺町一丁目（平和町方向）	07:41	08:11	11:53	12:13	13:03	20:58	21:28	21:58	22:28	22:58
十一屋-A	07:42	08:12	11:54	12:14	13:04	20:59	21:29	21:59	22:29	22:59
平和町-E	07:43	08:15	12:00	12:20	13:10	21:05	21:35	22:05	22:35	23:05
平和町（アルコ前）										
金大附校自衛隊前-B										
